dataset	lang	model	measure1	measure2	corr
europarl	de	bm25	r.10	p.10	0.8117225864930513
europarl	de	bm25	r.10	rbo	0.8666666666666667
europarl	de	bm25	r.10	ndcg	0.8499999999999999
europarl	de	bm25	r.10	bleu.lower	0.7999999999999999
europarl	de	bm25	r.10	bleu.lower.stem	0.7999999999999999
europarl	de	bm25	r.10	bleu.lower.depunc	0.8117225864930513
europarl	de	bm25	r.10	bleu.lower.stem.depunc	0.8117225864930513
europarl	de	bm25	r.10	prec1.lower	0.8166666666666667
europarl	de	bm25	r.10	prec1.lower.stem	0.8166666666666667
europarl	de	bm25	r.10	prec1.lower.depunc	0.8451956828432803
europarl	de	bm25	r.10	prec1.lower.stem.depunc	0.8451956828432803
europarl	de	bm25	r.10	prec2.lower	0.7999999999999999
europarl	de	bm25	r.10	prec2.lower.stem	0.8067511745433772
europarl	de	bm25	r.10	prec2.lower.depunc	0.8451956828432803
europarl	de	bm25	r.10	prec2.lower.stem.depunc	0.8355099778440249
europarl	de	bm25	r.10	prec3.lower	0.7949860383179369
europarl	de	bm25	r.10	prec3.lower.stem	0.7949860383179369
europarl	de	bm25	r.10	prec3.lower.depunc	0.8284591346681659
europarl	de	bm25	r.10	prec3.lower.stem.depunc	0.8166666666666667
europarl	de	bm25	r.10	prec4.lower	0.7899438584070568
europarl	de	bm25	r.10	prec4.lower.stem	0.7999999999999999
europarl	de	bm25	r.10	prec4.lower.depunc	0.8067511745433772
europarl	de	bm25	r.10	prec4.lower.stem.depunc	0.8117225864930513
europarl	de	bm25	rbo	size	0.8453303101943839
europarl	de	bm25	rbo	bpe.tokens	0.15975241260567344
europarl	de	bm25	rbo	map	0.9623515200690814
europarl	de	bm25	rbo	map.gm	0.8666666666666667
europarl	de	bm25	rbo	p.5	0.8499999999999999
europarl	de	bm25	rbo	p.10	0.8954053273686237
europarl	de	bm25	rbo	r.10	0.8666666666666667
europarl	de	bm25	rbo	ndcg	0.9500000000000001
europarl	de	bm25	rbo	bleu.lower	0.9
europarl	de	bm25	rbo	bleu.lower.stem	0.9
europarl	de	bm25	rbo	bleu.lower.depunc	0.8954053273686235
europarl	de	bm25	rbo	bleu.lower.stem.depunc	0.8954053273686235
europarl	de	bm25	rbo	prec1.lower	0.9166666666666666
europarl	de	bm25	rbo	prec1.lower.stem	0.9166666666666666
europarl	de	bm25	rbo	prec1.lower.depunc	0.9288784237188525
europarl	de	bm25	rbo	prec1.lower.stem.depunc	0.9288784237188525
europarl	de	bm25	rbo	prec2.lower	0.9
europarl	de	bm25	rbo	prec2.lower.stem	0.9075950713612995
europarl	de	bm25	rbo	prec2.lower.depunc	0.9288784237188525
europarl	de	bm25	rbo	prec2.lower.stem.depunc	0.9199049251009971
europarl	de	bm25	rbo	prec3.lower	0.8954053273686235
europarl	de	bm25	rbo	prec3.lower.stem	0.8954053273686235
europarl	de	bm25	rbo	prec3.lower.depunc	0.8954053273686235
europarl	de	bm25	rbo	prec3.lower.stem.depunc	0.8833333333333333
europarl	de	bm25	rbo	prec4.lower	0.890787755224979
europarl	de	bm25	rbo	prec4.lower.stem	0.9
europarl	de	bm25	rbo	prec4.lower.depunc	0.890787755224979
europarl	de	bm25	rbo	prec4.lower.stem.depunc	0.8954053273686235
europarl	de	bm25	ndcg	size	0.8453303101943839
europarl	de	bm25	ndcg	bpe.tokens	0.18257418583505536
europarl	de	bm25	ndcg	map	0.9790880682441959
europarl	de	bm25	ndcg	map.gm	0.8833333333333333
europarl	de	bm25	ndcg	p.5	0.8333333333333333
europarl	de	bm25	ndcg	p.10	0.8451956828432803
europarl	de	bm25	ndcg	r.10	0.8499999999999999
europarl	de	bm25	ndcg	rbo	0.9500000000000001
europarl	de	bm25	ndcg	bleu.lower	0.8833333333333333
europarl	de	bm25	ndcg	bleu.lower.stem	0.8833333333333333
europarl	de	bm25	ndcg	bleu.lower.depunc	0.8786687791935092
europarl	de	bm25	ndcg	bleu.lower.stem.depunc	0.8786687791935092
europarl	de	bm25	ndcg	prec1.lower	0.9
europarl	de	bm25	ndcg	prec1.lower.stem	0.9
europarl	de	bm25	ndcg	prec1.lower.depunc	0.9121418755437382
europarl	de	bm25	ndcg	prec1.lower.stem.depunc	0.9121418755437382
europarl	de	bm25	ndcg	prec2.lower	0.8833333333333333
europarl	de	bm25	ndcg	prec2.lower.stem	0.890787755224979
europarl	de	bm25	ndcg	prec2.lower.depunc	0.9121418755437382
europarl	de	bm25	ndcg	prec2.lower.stem.depunc	0.9030259356496025
europarl	de	bm25	ndcg	prec3.lower	0.8786687791935092
europarl	de	bm25	ndcg	prec3.lower.stem	0.8786687791935092
europarl	de	bm25	ndcg	prec3.lower.depunc	0.8786687791935092
europarl	de	bm25	ndcg	prec3.lower.stem.depunc	0.8666666666666667
europarl	de	bm25	ndcg	prec4.lower	0.890787755224979
europarl	de	bm25	ndcg	prec4.lower.stem	0.8833333333333333
europarl	de	bm25	ndcg	prec4.lower.depunc	0.890787755224979
europarl	de	bm25	ndcg	prec4.lower.stem.depunc	0.8786687791935092
europarl	de	bm25	bleu.lower	size	0.9315885051121781
europarl	de	bm25	bleu.lower	bpe.tokens	0.04564354645876384
europarl	de	bm25	bleu.lower	map	0.8619322310183947
europarl	de	bm25	bleu.lower	map.gm	0.8666666666666667
europarl	de	bm25	bleu.lower	p.5	0.75
europarl	de	bm25	bleu.lower	p.10	0.7949860383179369
europarl	de	bm25	bleu.lower	r.10	0.7999999999999999
europarl	de	bm25	bleu.lower	rbo	0.9
europarl	de	bm25	bleu.lower	ndcg	0.8833333333333333
europarl	de	bm25	bleu.lower	bleu.lower.stem	1.0
europarl	de	bm25	bleu.lower	bleu.lower.depunc	0.9958246164193105
europarl	de	bm25	bleu.lower	bleu.lower.stem.depunc	0.9958246164193105
europarl	de	bm25	bleu.lower	prec1.lower	0.9500000000000001
europarl	de	bm25	bleu.lower	prec1.lower.stem	0.9500000000000001
europarl	de	bm25	bleu.lower	prec1.lower.depunc	0.9623515200690815
europarl	de	bm25	bleu.lower	prec1.lower.stem.depunc	0.9623515200690815
europarl	de	bm25	bleu.lower	prec2.lower	0.9666666666666667
europarl	de	bm25	bleu.lower	prec2.lower.stem	0.991631652042901
europarl	de	bm25	bleu.lower	prec2.lower.depunc	0.9623515200690815
europarl	de	bm25	bleu.lower	prec2.lower.stem.depunc	0.9874208829065748
europarl	de	bm25	bleu.lower	prec3.lower	0.9790880682441959
europarl	de	bm25	bleu.lower	prec3.lower.stem	0.9958246164193105
europarl	de	bm25	bleu.lower	prec3.lower.depunc	0.9790880682441959
europarl	de	bm25	bleu.lower	prec3.lower.stem.depunc	0.9833333333333333
europarl	de	bm25	bleu.lower	prec4.lower	0.9748243359065808
europarl	de	bm25	bleu.lower	prec4.lower.stem	1.0
europarl	de	bm25	bleu.lower	prec4.lower.depunc	0.991631652042901
europarl	de	bm25	bleu.lower	prec4.lower.stem.depunc	0.9958246164193105
europarl	de	bm25	bleu.lower.stem	size	0.9315885051121781
europarl	de	bm25	bleu.lower.stem	bpe.tokens	0.04564354645876384
europarl	de	bm25	bleu.lower.stem	map	0.8619322310183947
europarl	de	bm25	bleu.lower.stem	map.gm	0.8666666666666667
europarl	de	bm25	bleu.lower.stem	p.5	0.75
europarl	de	bm25	bleu.lower.stem	p.10	0.7949860383179369
europarl	de	bm25	bleu.lower.stem	r.10	0.7999999999999999
europarl	de	bm25	bleu.lower.stem	rbo	0.9
europarl	de	bm25	bleu.lower.stem	ndcg	0.8833333333333333
europarl	de	bm25	bleu.lower.stem	bleu.lower	1.0
europarl	de	bm25	bleu.lower.stem	bleu.lower.depunc	0.9958246164193105
europarl	de	bm25	bleu.lower.stem	bleu.lower.stem.depunc	0.9958246164193105
europarl	de	bm25	bleu.lower.stem	prec1.lower	0.9500000000000001
europarl	de	bm25	bleu.lower.stem	prec1.lower.stem	0.9500000000000001
