dataset	lang	size	bpe.tokens	model	query	map	map.gm	p.5	p.10	r.10	rbo	ndcg	bleu.lower	bleu.lower.stem	bleu.lower.depunc	bleu.lower.stem.depunc	prec1.lower	prec1.lower.stem	prec1.lower.depunc	prec1.lower.stem.depunc	prec2.lower	prec2.lower.stem	prec2.lower.depunc	prec2.lower.stem.depunc	prec3.lower	prec3.lower.stem	prec3.lower.depunc	prec3.lower.stem.depunc	prec4.lower	prec4.lower.stem	prec4.lower.depunc	prec4.lower.stem.depunc
wiki	de	200000	32000	neural	all	0.1071	0.0026	0.0297	0.0206	0.2064	0.122634106294074	0.2023	32	33.1	30.4	31.7	64.6	66.3	62.6	64.6	39.3	40.6	38.3	39.7	26.1	27.1	25	26	17.7	18.5	16.6	17.4
wiki	de	125000	16000	bm25	all	0.7534	0.2993	0.1643	0.0852	0.8515	0.400423537323643	0.7922	28.8	29.8	27	28.2	61.3	63	59.5	61.5	35.5	36.8	34.6	36	22.7	23.6	21.6	22.6	14.8	15.5	13.7	14.4
wiki	cs	100000	16000	bm25	all	0.6423	0.1362	0.1436	0.0757	0.7565	0.3399283303411	0.6922	27.4	28.7	25.4	26.8	60.4	62.3	57.8	60.2	33.9	35.4	32.4	34	21.3	22.3	19.7	20.8	13.6	14.4	12.3	13.2
wiki	de	150000	16000	neural	all	0.1056	0.0027	0.0289	0.0202	0.2022	0.120583499096515	0.2027	29.5	30.7	27.8	29	62.4	64.2	60.4	62.5	36.6	37.9	35.6	37	23.6	24.6	22.5	23.5	15.6	16.4	14.4	15.2
wiki	cs	25000	32000	neural	all	0.0275	1e-04	0.0074	0.0053	0.053	0.0419890318370983	0.0703	17.5	18.4	15.6	16.4	50	51.5	46.7	48.4	22.9	24	21.3	22.4	12.2	12.9	10.8	11.5	6.7	7.2	5.7	6.1
wiki	cs	25000	16000	bm25	all	0.4342	0.0252	0.1016	0.0558	0.5576	0.218482730820184	0.4994	18.7	19.8	16.7	17.9	51.5	53.4	48.5	50.7	24.3	25.6	22.8	24.2	13.3	14.1	11.9	12.8	7.4	8	6.3	6.9
wiki	cs	100000	32000	neural	all	0.0691	8e-04	0.0191	0.0137	0.1374	0.0931477537994761	0.1465	28.5	29.8	26.5	27.9	61.7	63.7	59.2	61.5	35.2	36.8	33.7	35.3	22.2	23.4	20.6	21.8	14.3	15.2	12.9	13.9
wiki	de	125000	32000	neural	all	0.098	0.002	0.027	0.019	0.1902	0.110684435401554	0.1904	29.8	30.9	28.1	29.2	63.1	64.8	61	63	37.2	38.4	36.1	37.4	24.2	25	22.9	23.8	16.1	16.7	14.7	15.5
wiki	de	175000	16000	bm25	all	0.775	0.336	0.1679	0.0867	0.867	0.413456327537169	0.8106	30.6	31.8	29	30.2	63.3	65.1	61.4	63.4	37.8	39.1	36.8	38.2	24.7	25.7	23.6	24.6	16.5	17.2	15.3	16.2
wiki	de	200000	16000	bm25	all	0.7792	0.3393	0.1686	0.087	0.8702	0.416343266766576	0.814	31.2	32.3	29.5	30.8	64	65.7	62	64	38.5	39.8	37.4	38.9	25.3	26.3	24.2	25.2	17	17.8	15.8	16.7
